height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,,Hash Power In Giga Hash,P_t
249984,1375527115,37392766,19.63,0x1972dbf2,502,2.67622E+14,,142.281242,2.003138755
252000,1376417490,50810339,35.88,0x19548732,442,3.63634E+14,,213.1775775,1.896696074
254016,1377353319,65750060,29.4,0x19415257,464,4.70117E+14,,225.2998321,1.829493738
256032,1378268460,86933017,32.22,0x1931679c,454,6.22098E+14,,317.8555672,1.773427632
258048,1379202248,112628548,29.56,0x19262222,463,8.06096E+14,,497.5817439,1.733841246
260064,1380118146,148819199,32.13,0x191cdc20,454,1.06476E+15,,725.5966144,1.701326971
262080,1381070552,189281249,27.19,0x1916b0ca,472,1.35297E+15,,907.5073882,1.679742453
264096,1381925788,267731249,41.45,0x19100ab6,424,1.91634E+15,,1302.020289,1.656299536
266112,1382754272,390928787,46.02,0x190afc85,411,2.79811E+15,,1665.432283,1.638557733
268128,1383681123,510929738,30.7,0x190867f3,460,3.65206E+15,,2808.197439,1.629541919
270144,1384699499,609482679,19.29,0x19070bfb,505,4.34414E+15,,4114.549716,1.624835529
272160,1385742648,707408283,16.07,0x19061242,517,5.05901E+15,,4938.500381,1.621326099
274176,1386684686,908350862,28.41,0x1904ba6e,467,6.50208E+15,,5731.969408,1.616592992
276192,1387617112,1180923195,30.01,0x1903a30c,463,8.43509E+15,,8714.792694,1.61279049
278208,1388624318,1418481395,20.12,0x1903071f,500,1.0152E+16,,11388.57803,1.610627304
280224,1389583220,1789546951,26.16,0x19026666,476,1.28085E+16,,14596.21017,1.608423198
282240,1390570126,2193847870,22.59,0x1901f52c,490,1.57007E+16,,16903.79922,1.60687162
284256,1391584456,2621404453,19.49,0x1901a36e,503,1.87274E+16,,22804.37638,1.605761018
286272,1392597839,3129573174,19.39,0x19015f53,503,2.23981E+16,,26602.7994,1.604816882
288288,1393590585,3815723798,21.92,0x19012026,492,2.72959E+16,,30728.26674,1.603952569
290304,1394676764,4250217919,11.39,0x190102b1,539,3.04177E+16,,30635.52442,1.603546916
292320,1395703832,5006860589,17.8,0x1900db99,509,3.58313E+16,,44551.73779,1.603011026
294336,1396694478,6119726089,22.23,0x1900b3aa,491,4.3762E+16,,59321.58062,1.602465355
296352,1397755646,6978842649,14.04,0x19009d8c,526,4.99342E+16,,57935.66502,1.602160621
298368,1398811175,8000872135,14.64,0x1900896c,524,5.72484E+16,,66022.43485,1.601884574
300384,1399904311,8853416309,10.66,0x187c3053,542,6.33744E+16,,78483.25676,1.601702407
302400,1400928750,10455720138,18.1,0x18692842,508,7.48299E+16,,86494.36212,1.601441789
304416,1402004993,11756551916,12.44,0x185d859a,534,8.4119E+16,,123807.2702,1.601282575
306432,1403061280,13462580114,14.51,0x1851aba2,524,9.63715E+16,,133768.0399,1.601119511
308448,1404029556,16818461371,24.93,0x18415fd1,480,1.20387E+17,,142195.8436,1.600896184
310464,1405205894,17336316978,3.08,0x183f6be6,584,1.23795E+17,,162993.8733,1.60087151
312480,1406325092,18736441558,8.08,0x183aaea2,555,1.34122E+17,,153980.265,1.600804408
314496,1407474112,19729645940,5.3,0x1837ba62,570,1.41192E+17,,158833.5469,1.600764129
316512,1408475518,23844670038,20.86,0x182e1c58,497,1.70592E+17,,208613.1496,1.600632437
318528,1409527152,27428630902,15.03,0x182815ee,522,1.96326E+17,,232806.52,1.600549541
320544,1410638896,29829733124,8.75,0x1824dbe9,551,2.13624E+17,,246393.1225,1.600505042
322560,1411680080,34661425923,16.2,0x181fb893,516,2.48069E+17,,294057.0964,1.600434915
324576,1412877866,35002482026,0.98,0x181f6973,594,2.50563E+17,,286216.9409,1.600430585
326592,1414055393,35985640265,2.81,0x181e8dc0,584,2.57382E+17,,287431.5034,1.600419178
328608,1415154631,39603666252,10.05,0x181bc330,545,2.83457E+17,,262435.624,1.600380618
330624,1416345124,40300030327,1.76,0x181b4861,591,2.88044E+17,,276440.7167,1.600374557
332640,1417563705,40007470271,-0.73,0x181b7b74,604,2.86353E+17,,317755.1397,1.600376769
334656,1418791024,39457671307,-1.37,0x181bdd7c,609,2.8225E+17,,317182.8346,1.600382246
336672,1419965588,40640955016,3,0x181b0dca,583,2.90874E+17,,325690.6334,1.600370913
